"MEASURE","Data item","REGIONTYPE","Geography Level","LGA_2019","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","24900","Moira (S)","A","Annual","2016","2016",30.1,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","24970","Monash (C)","A","Annual","2016","2016",71.4,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","24970","Monash (C)","A","Annual","2016","2016",50.1,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","24970","Monash (C)","A","Annual","2016","2016",47403,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","24970","Monash (C)","A","Annual","2016","2016",67.9,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","25060","Moonee Valley (C)","A","Annual","2016","2016",83.9,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","25060","Moonee Valley (C)","A","Annual","2016","2016",29.8,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","25060","Moonee Valley (C)","A","Annual","2016","2016",53610,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","25060","Moonee Valley (C)","A","Annual","2016","2016",61.1,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","25150","Moorabool (S)","A","Annual","2016","2016",89,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","25150","Moorabool (S)","A","Annual","2016","2016",5.3,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","25150","Moorabool (S)","A","Annual","2016","2016",49388,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","25150","Moorabool (S)","A","Annual","2016","2016",41.2,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","25250","Moreland (C)","A","Annual","2016","2016",78.5,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","25250","Moreland (C)","A","Annual","2016","2016",38.2,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","25250","Moreland (C)","A","Annual","2016","2016",49893,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","25250","Moreland (C)","A","Annual","2016","2016",63.6,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","25340","Mornington Peninsula (S)","A","Annual","2016","2016",88.2,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","25340","Mornington Peninsula (S)","A","Annual","2016","2016",5.4,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","25340","Mornington Peninsula (S)","A","Annual","2016","2016",43589,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","25340","Mornington Peninsula (S)","A","Annual","2016","2016",46.3,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","25430","Mount Alexander (S)","A","Annual","2016","2016",84.9,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","25430","Mount Alexander (S)","A","Annual","2016","2016",3.4,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","25430","Mount Alexander (S)","A","Annual","2016","2016",41605,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","25430","Mount Alexander (S)","A","Annual","2016","2016",43.4,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","25490","Moyne (S)","A","Annual","2016","2016",88.8,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","25490","Moyne (S)","A","Annual","2016","2016",2.2,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","25490","Moyne (S)","A","Annual","2016","2016",40104,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","25490","Moyne (S)","A","Annual","2016","2016",38.3,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","25620","Murrindindi (S)","A","Annual","2016","2016",87.8,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","25620","Murrindindi (S)","A","Annual","2016","2016",3.2,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","25620","Murrindindi (S)","A","Annual","2016","2016",40716,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","25620","Murrindindi (S)","A","Annual","2016","2016",37.4,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","25710","Nillumbik (S)","A","Annual","2016","2016",90.6,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","25710","Nillumbik (S)","A","Annual","2016","2016",9.2,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","25710","Nillumbik (S)","A","Annual","2016","2016",51480,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","25710","Nillumbik (S)","A","Annual","2016","2016",59.5,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","25810","Northern Grampians (S)","A","Annual","2016","2016",89.8,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","25810","Northern Grampians (S)","A","Annual","2016","2016",3.2,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","25810","Northern Grampians (S)","A","Annual","2016","2016",39715,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","25810","Northern Grampians (S)","A","Annual","2016","2016",33,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","25900","Port Phillip (C)","A","Annual","2016","2016",72.9,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","25900","Port Phillip (C)","A","Annual","2016","2016",20.6,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","25900","Port Phillip (C)","A","Annual","2016","2016",57800,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","25900","Port Phillip (C)","A","Annual","2016","2016",71.3,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","25990","Pyrenees (S)","A","Annual","2016","2016",84.1,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","25990","Pyrenees (S)","A","Annual","2016","2016",2.1,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","25990","Pyrenees (S)","A","Annual","2016","2016",38890,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","25990","Pyrenees (S)","A","Annual","2016","2016",29.9,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","26080","Queenscliffe (B)","A","Annual","2016","2016",88.6,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","26080","Queenscliffe (B)","A","Annual","2016","2016",2.9,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","26080","Queenscliffe (B)","A","Annual","2016","2016",41113,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","26080","Queenscliffe (B)","A","Annual","2016","2016",53.3,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","26170","South Gippsland (S)","A","Annual","2016","2016",88.5,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","26170","South Gippsland (S)","A","Annual","2016","2016",3.4,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","26170","South Gippsland (S)","A","Annual","2016","2016",39054,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","26170","South Gippsland (S)","A","Annual","2016","2016",35.5,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","26260","Southern Grampians (S)","A","Annual","2016","2016",90.7,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","26260","Southern Grampians (S)","A","Annual","2016","2016",2.7,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","26260","Southern Grampians (S)","A","Annual","2016","2016",38939,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","26260","Southern Grampians (S)","A","Annual","2016","2016",35.9,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","26350","Stonnington (C)","A","Annual","2016","2016",76,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","26350","Stonnington (C)","A","Annual","2016","2016",23.2,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","26350","Stonnington (C)","A","Annual","2016","2016",54999,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","26350","Stonnington (C)","A","Annual","2016","2016",75.5,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","26430","Strathbogie (S)","A","Annual","2016","2016",88.6,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","26430","Strathbogie (S)","A","Annual","2016","2016",3.4,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","26430","Strathbogie (S)","A","Annual","2016","2016",40594,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","26430","Strathbogie (S)","A","Annual","2016","2016",35.5,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","26490","Surf Coast (S)","A","Annual","2016","2016",89.9,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","26490","Surf Coast (S)","A","Annual","2016","2016",4,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","26490","Surf Coast (S)","A","Annual","2016","2016",44611,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","26490","Surf Coast (S)","A","Annual","2016","2016",55.2,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","26610","Swan Hill (RC)","A","Annual","2016","2016",81.7,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","26610","Swan Hill (RC)","A","Annual","2016","2016",11.5,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","26610","Swan Hill (RC)","A","Annual","2016","2016",37734,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","26610","Swan Hill (RC)","A","Annual","2016","2016",32,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","26670","Towong (S)","A","Annual","2016","2016",89.8,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","26670","Towong (S)","A","Annual","2016","2016",2.6,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","26670","Towong (S)","A","Annual","2016","2016",39723,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","26670","Towong (S)","A","Annual","2016","2016",32.4,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","26700","Wangaratta (RC)","A","Annual","2016","2016",90.3,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","26700","Wangaratta (RC)","A","Annual","2016","2016",4.6,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","26700","Wangaratta (RC)","A","Annual","2016","2016",42614,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","26700","Wangaratta (RC)","A","Annual","2016","2016",37.1,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","26730","Warrnambool (C)","A","Annual","2016","2016",88.5,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","26730","Warrnambool (C)","A","Annual","2016","2016",4.3,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","26730","Warrnambool (C)","A","Annual","2016","2016",40715,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","26730","Warrnambool (C)","A","Annual","2016","2016",41,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","26810","Wellington (S)","A","Annual","2016","2016",86.7,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","26810","Wellington (S)","A","Annual","2016","2016",3.8,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","26810","Wellington (S)","A","Annual","2016","2016",43578,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","26810","Wellington (S)","A","Annual","2016","2016",33.5,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","26890","West Wimmera (S)","A","Annual","2016","2016",92.5,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","26890","West Wimmera (S)","A","Annual","2016","2016",1.9,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","26890","West Wimmera (S)","A","Annual","2016","2016",34645,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","26890","West Wimmera (S)","A","Annual","2016","2016",32.6,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","26980","Whitehorse (C)","A","Annual","2016","2016",76.9,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","26980","Whitehorse (C)","A","Annual","2016","2016",36.7,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","26980","Whitehorse (C)","A","Annual","2016","2016",48132,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","26980","Whitehorse (C)","A","Annual","2016","2016",67,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","27070","Whittlesea (C)","A","Annual","2016","2016",81.6,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","27070","Whittlesea (C)","A","Annual","2016","2016",44,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","27070","Whittlesea (C)","A","Annual","2016","2016",47298,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","27070","Whittlesea (C)","A","Annual","2016","2016",54.1,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","27170","Wodonga (C)","A","Annual","2016","2016",89.8,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","27170","Wodonga (C)","A","Annual","2016","2016",6,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","27170","Wodonga (C)","A","Annual","2016","2016",47413,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","27170","Wodonga (C)","A","Annual","2016","2016",39.9,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","27260","Wyndham (C)","A","Annual","2016","2016",73.8,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","27260","Wyndham (C)","A","Annual","2016","2016",41.1,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","27260","Wyndham (C)","A","Annual","2016","2016",50442,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","27260","Wyndham (C)","A","Annual","2016","2016",58.2,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","27350","Yarra (C)","A","Annual","2016","2016",77.3,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","27350","Yarra (C)","A","Annual","2016","2016",22.3,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","27350","Yarra (C)","A","Annual","2016","2016",57107,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","27350","Yarra (C)","A","Annual","2016","2016",73.6,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","27450","Yarra Ranges (S)","A","Annual","2016","2016",89,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","27450","Yarra Ranges (S)","A","Annual","2016","2016",7.2,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","27450","Yarra Ranges (S)","A","Annual","2016","2016",46816,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","27450","Yarra Ranges (S)","A","Annual","2016","2016",47.1,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","27630","Yarriambiack (S)","A","Annual","2016","2016",90.3,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","27630","Yarriambiack (S)","A","Annual","2016","2016",2.4,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","27630","Yarriambiack (S)","A","Annual","2016","2016",35547,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","27630","Yarriambiack (S)","A","Annual","2016","2016",28.4,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","29399","Unincorporated Vic","A","Annual","2016","2016",62.4,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","29399","Unincorporated Vic","A","Annual","2016","2016",12.3,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","29399","Unincorporated Vic","A","Annual","2016","2016",13841,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","29399","Unincorporated Vic","A","Annual","2016","2016",52.5,,
